CONS_NO,FLAG,DATE,CONSUMPTION,anomaly_type,source_consumer
CUST_0020SYN1meter_tamper,1,2014-01-01,0.8880000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-02,1.332,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-03,0.9900000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-04,0.8880000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-05,1.332,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-06,0.9900000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-07,0.8880000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-08,1.332,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-09,0.9900000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-10,0.8880000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-11,1.332,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-12,0.9900000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-13,0.8880000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-14,1.332,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-15,0.9900000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-16,0.8880000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-17,1.332,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-18,0.9900000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-19,0.8880000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-20,1.332,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-21,0.9900000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-22,0.8880000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-23,1.332,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-24,0.9900000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-25,0.8880000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-26,1.332,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-27,0.9900000000000001,meter_tamper,CUST_0020
CUST_0020SYN1meter_tamper,1,2014-01-28,0.8880000000000001,meter_tamper,CUST_0020
