CONS_NO,FLAG,DATE,CONSUMPTION,YEAR,MONTH,DAY,DAY_OF_WEEK,ROLL_MEAN_3,ROLL_STD_3,ROLL_MEAN_7,DIFF_1,DAILY_ENERGY,LOAD_FACTOR,MIN_MAX_RATIO,DIFF_3,DIFF_7,VOLATILITY_INDEX,OFFPEAK_3,PEAK_OFFPEAK_RATIO
CUST_0001,1,2014-01-01,5.68,2014,1,1,2,,,,,5.68,,,,,,,
CUST_0001,1,2014-01-02,9.22,2014,1,2,3,,,,3.540000000000001,9.22,,,,,,,
CUST_0001,1,2014-01-03,1.92,2014,1,3,4,5.6066666666666665,3.6505524696042015,,-7.300000000000001,1.92,,,,,0.6511092395251251,,
CUST_0001,1,2014-01-04,5.89,2014,1,4,5,5.676666666666667,3.6546728079724637,,3.9699999999999998,5.89,,,0.20999999999999996,,0.6438061317626184,,
CUST_0001,1,2014-01-05,12.96,2014,1,5,6,6.923333333333335,5.592068788322738,,7.070000000000001,12.96,,,3.74,,0.8077133541149837,,
CUST_0001,1,2014-01-06,0.57,2014,1,6,0,6.473333333333333,6.215563798508816,,-12.39,0.57,,,-1.35,,0.9601797834977575,5.6066666666666665,1.154577883472057
CUST_0001,1,2014-01-07,12.13,2014,1,7,1,8.553333333333335,6.926213491752425,6.910000000000001,11.56,12.13,0.5331790123456791,0.043981481481481476,6.240000000000001,,0.8097677503997378,5.676666666666667,1.5067527891955375
CUST_0001,1,2014-01-08,14.44,2014,1,8,2,9.046666666666667,7.431314374545954,8.161428571428571,2.3099999999999987,14.44,0.565195884447962,0.039473684210526314,1.4799999999999986,8.76,0.8214422668989632,6.923333333333335,1.3066923447279728
CUST_0001,1,2014-01-09,5.58,2014,1,9,3,10.716666666666669,4.595980127604266,7.6414285714285715,-8.86,5.58,0.529184804115552,0.039473684210526314,5.01,-3.6400000000000006,0.42886284238920047,6.473333333333333,1.6555097837281159
CUST_0001,1,2014-01-10,5.18,2014,1,10,4,8.4,5.234615554173963,8.107142857142858,-0.40000000000000036,5.18,0.5614364859517215,0.039473684210526314,-6.950000000000001,3.26,0.6231685183540432,8.553333333333335,0.9820732657833202
CUST_0001,1,2014-01-11,9.67,2014,1,11,5,6.81,2.484894363951916,8.647142857142857,4.49,9.67,0.598832607835378,0.039473684210526314,-4.77,3.7800000000000002,0.3648890402278878,9.046666666666667,0.7527634487840825
CUST_0001,1,2014-01-12,9.9,2014,1,12,6,8.25,2.6611839470431193,8.209999999999999,0.23000000000000043,9.9,0.5685595567867036,0.039473684210526314,4.32,-3.0600000000000005,0.32256775115674174,10.716666666666669,0.769828926905132
CUST_0001,1,2014-01-13,14.11,2014,1,13,0,11.226666666666667,2.4996866470286485,10.144285714285715,4.209999999999999,14.11,0.7025128611001188,0.3587257617728532,8.93,13.54,0.22265617402274185,8.4,1.3365079365079364
CUST_0001,1,2014-01-14,9.26,2014,1,14,1,11.089999999999998,2.634900377623411,9.734285714285715,-4.85,9.26,0.6741195092995648,0.3587257617728532,-0.41000000000000014,-2.870000000000001,0.23759245965946,6.81,1.6284875183553595
CUST_0001,1,2014-01-15,13.36,2014,1,15,2,12.243333333333334,2.610715099993358,9.58,4.1,13.36,0.6789510985116939,0.36711552090715804,3.459999999999999,-1.08,0.2132356466098577,8.25,1.484040404040404
CUST_0001,1,2014-01-16,0.87,2014,1,16,3,7.830000000000001,6.3666082021748425,8.907142857142857,-12.49,0.87,0.6312645540143769,0.06165839829907867,-13.24,-4.71,0.8131044958077703,11.226666666666667,0.6974465558194776
CUST_0001,1,2014-01-17,8.28,2014,1,17,4,7.503333333333333,6.2811172042347145,9.35,7.409999999999999,8.28,0.6626506024096386,0.06165839829907867,-0.9800000000000004,3.0999999999999996,0.8371102449002286,11.089999999999998,0.6765855124737001
CUST_0001,1,2014-01-18,7.43,2014,1,18,5,5.526666666666666,4.055124330194244,9.03,-0.8499999999999996,7.43,0.6399716513111269,0.06165839829907867,-5.93,-2.24,0.7337378160785725,12.243333333333334,0.4514021236046828
CUST_0001,1,2014-01-19,5.88,2014,1,19,6,7.196666666666666,1.2168949557514506,8.455714285714285,-1.5499999999999998,5.88,0.5992710337146906,0.06165839829907867,5.01,-4.0200000000000005,0.16909147138741787,7.830000000000001,0.9191145168156661
CUST_0001,1,2014-01-20,1.86,2014,1,20,0,5.0566666666666675,2.874827531058744,6.7057142857142855,-4.02,1.86,0.5019247219846023,0.06511976047904192,-6.419999999999999,-12.25,0.5685222539997515,7.503333333333333,0.6739227010217682
CUST_0001,1,2014-01-21,1.64,2014,1,21,1,3.1266666666666674,2.386992528964702,5.6171428571428565,-0.2200000000000002,1.64,0.4204448246364414,0.06511976047904192,-5.79,-7.62,0.763430446363977,5.526666666666666,0.5657418576598313
CUST_0001,1,2014-01-22,11.89,2014,1,22,2,5.130000000000002,5.855365061206687,5.407142857142857,10.25,11.89,0.4547639072449837,0.07317073170731707,6.010000000000001,-1.4699999999999989,1.1413966980909718,7.196666666666666,0.7128300138953222
CUST_0001,1,2014-01-23,1.36,2014,1,23,3,4.963333333333335,6.00030277013863,5.477142857142858,-10.530000000000001,1.36,0.46065120749729666,0.11438183347350715,-0.5,0.4900000000000001,1.208926011444989,5.0566666666666675,0.9815425181278841
CUST_0001,1,2014-01-24,1.85,2014,1,24,4,5.033333333333335,5.943099640198986,4.558571428571429,0.49,1.85,0.3833954103087829,0.11438183347350715,0.2100000000000002,-6.43,1.1807482728872154,3.1266666666666674,1.609808102345416
CUST_0001,1,2014-01-25,9.48,2014,1,25,5,4.230000000000001,4.553229623025834,4.851428571428571,7.630000000000001,9.48,0.40802595218070403,0.11438183347350715,-2.41,2.0500000000000007,1.0764136224647358,5.130000000000002,0.8245614035087719
CUST_0001,1,2014-01-26,10.5,2014,1,26,6,7.276666666666668,4.727222581319113,5.511428571428572,1.0199999999999996,10.5,0.46353478313108254,0.11438183347350715,9.14,4.62,0.6496412159394107,4.963333333333335,1.466084620550705
CUST_0001,1,2014-01-27,8.95,2014,1,27,0,9.643333333333334,0.787802851818499,6.524285714285715,-1.5500000000000007,8.95,0.5487204133125075,0.11438183347350715,7.1,7.089999999999999,0.08169403924837527,5.033333333333335,1.915894039735099
CUST_0001,1,2014-01-28,14.32,2014,1,28,1,11.256666666666668,2.763807759836668,8.335714285714285,5.370000000000001,14.32,0.5821029529130087,0.09497206703910616,4.84,12.68,0.24552630380544874,4.230000000000001,2.6611505122143413
CUST_0001,1,2014-01-29,10.59,2014,1,29,2,11.286666666666667,2.751950823204038,8.15,-3.7300000000000004,10.59,0.5691340782122906,0.09497206703910616,0.08999999999999986,-1.3000000000000007,0.24382316803343515,7.276666666666668,1.5510765002290423
CUST_0001,1,2014-01-30,6.94,2014,1,30,3,10.616666666666669,3.6900722666816934,8.947142857142858,-3.6499999999999995,6.94,0.6248004788507582,0.12918994413407822,-2.009999999999999,5.58,0.3475735259040841,9.643333333333334,1.1009332872450743
CUST_0002,1,2014-01-01,14.27,2014,1,1,2,,,,,14.27,,,,,,,
CUST_0002,1,2014-01-02,2.18,2014,1,2,3,,,,-12.09,2.18,,,,,,,
CUST_0002,1,2014-01-03,7.48,2014,1,3,4,7.976666666666667,6.060283271707135,,5.300000000000001,7.48,,,,,0.7597513504020645,,
CUST_0002,1,2014-01-04,4.14,2014,1,4,5,4.6000000000000005,2.6797761100509887,,-3.3400000000000007,4.14,,,-10.129999999999999,,0.5825600239241279,,
CUST_0002,1,2014-01-05,9.39,2014,1,5,6,7.003333333333334,2.657260494067781,,5.250000000000001,9.39,,,7.210000000000001,,0.37942796202776496,,
CUST_0002,1,2014-01-06,9.58,2014,1,6,0,7.703333333333333,3.087399121158997,,0.1899999999999995,9.58,,,2.0999999999999996,,0.4007874237765898,7.976666666666667,0.9657333890513999
CUST_0002,1,2014-01-07,13.45,2014,1,7,1,10.806666666666667,2.291164187336505,8.641428571428571,3.869999999999999,13.45,0.6055661227350085,0.1527680448493343,9.309999999999999,,0.21201395934637618,4.6000000000000005,2.3492753623188403
CUST_0002,1,2014-01-08,3.85,2014,1,8,2,8.959999999999999,4.829937887799389,7.152857142857143,-9.6,3.85,0.5318109399893787,0.16208178438661713,-5.540000000000001,-10.42,0.5390555678347533,7.003333333333334,1.2793907663017607
CUST_0002,1,2014-01-09,9.52,2014,1,9,3,8.94,4.826209692916381,8.20142857142857,5.67,9.52,0.6097716409984067,0.28624535315985133,-0.0600000000000005,7.34,0.5398444846662619,7.703333333333333,1.160536564257897
CUST_0002,1,2014-01-10,1.79,2014,1,10,4,5.053333333333334,4.003028020553113,7.388571428571429,-7.7299999999999995,1.79,0.5493361656930431,0.13308550185873608,-11.66,-5.69,0.7921559407427003,10.806666666666667,0.4676125848241826
