CONS_NO,FLAG,DATE,CONSUMPTION,YEAR,MONTH,DAY,DAY_OF_WEEK,ROLL_MEAN_3,ROLL_STD_3,ROLL_MEAN_7,DIFF_1,DAILY_ENERGY,LOAD_FACTOR,MIN_MAX_RATIO,DIFF_3,DIFF_7,VOLATILITY_INDEX,OFFPEAK_3,PEAK_OFFPEAK_RATIO,IFOREST_LABEL,IFOREST_ANOMALY,IFOREST_SCORE
CUST_0001,1,2014-01-01,5.68,2014,1,1,2,,,,,5.68,,,,,,,,1,0,-0.4645428247773773
CUST_0001,1,2014-01-02,9.22,2014,1,2,3,,,,3.540000000000001,9.22,,,,,,,,1,0,-0.48129209225950087
CUST_0001,1,2014-01-03,1.92,2014,1,3,4,5.6066666666666665,3.6505524696042015,,-7.300000000000001,1.92,,,,,0.6511092395251251,,,1,0,-0.47921945601532046
CUST_0001,1,2014-01-04,5.89,2014,1,4,5,5.676666666666667,3.654672807972464,,3.97,5.89,,,0.2099999999999999,,0.6438061317626184,,,1,0,-0.46582206893662925
CUST_0001,1,2014-01-05,12.96,2014,1,5,6,6.923333333333335,5.592068788322738,,7.070000000000001,12.96,,,3.74,,0.8077133541149837,,,1,0,-0.49136947782213247
CUST_0001,1,2014-01-06,0.57,2014,1,6,0,6.473333333333333,6.215563798508816,,-12.39,0.57,,,-1.35,,0.9601797834977576,5.6066666666666665,1.154577883472057,1,0,-0.5307061438300213
CUST_0001,1,2014-01-07,12.13,2014,1,7,1,8.553333333333335,6.926213491752425,6.910000000000001,11.56,12.13,0.5331790123456791,0.0439814814814814,6.240000000000001,,0.8097677503997378,5.676666666666667,1.5067527891955377,1,0,-0.45355249103170175
CUST_0001,1,2014-01-08,14.44,2014,1,8,2,9.046666666666669,7.431314374545954,8.161428571428571,2.3099999999999987,14.44,0.565195884447962,0.0394736842105263,1.4799999999999986,8.76,0.8214422668989632,6.923333333333335,1.3066923447279728,1,0,-0.4699783279125019
CUST_0001,1,2014-01-09,5.58,2014,1,9,3,10.716666666666669,4.595980127604266,7.6414285714285715,-8.86,5.58,0.529184804115552,0.0394736842105263,5.01,-3.640000000000001,0.4288628423892004,6.473333333333333,1.655509783728116,1,0,-0.449692683695827
CUST_0001,1,2014-01-10,5.18,2014,1,10,4,8.4,5.234615554173963,8.107142857142858,-0.4000000000000003,5.18,0.5614364859517215,0.0394736842105263,-6.950000000000001,3.26,0.6231685183540432,8.553333333333335,0.9820732657833202,1,0,-0.4242497886052944
CUST_0001,1,2014-01-11,9.67,2014,1,11,5,6.81,2.484894363951916,8.647142857142857,4.49,9.67,0.598832607835378,0.0394736842105263,-4.77,3.78,0.3648890402278878,9.046666666666669,0.7527634487840825,1,0,-0.4268772318085092
CUST_0001,1,2014-01-12,9.9,2014,1,12,6,8.25,2.66118394704312,8.209999999999999,0.2300000000000004,9.9,0.5685595567867036,0.0394736842105263,4.32,-3.0600000000000005,0.3225677511567417,10.716666666666669,0.769828926905132,1,0,-0.4230472350882343
CUST_0001,1,2014-01-13,14.11,2014,1,13,0,11.226666666666668,2.4996866470286485,10.144285714285717,4.209999999999999,14.11,0.7025128611001188,0.3587257617728532,8.93,13.54,0.2226561740227418,8.4,1.3365079365079364,1,0,-0.500729520304279
CUST_0001,1,2014-01-14,9.26,2014,1,14,1,11.089999999999998,2.634900377623411,9.734285714285717,-4.85,9.26,0.6741195092995648,0.3587257617728532,-0.4100000000000001,-2.870000000000001,0.23759245965946,6.81,1.6284875183553595,1,0,-0.46928653175578233
CUST_0001,1,2014-01-15,13.36,2014,1,15,2,12.243333333333334,2.610715099993358,9.58,4.1,13.36,0.6789510985116939,0.367115520907158,3.459999999999999,-1.08,0.2132356466098577,8.25,1.484040404040404,1,0,-0.47148873617685255
CUST_0001,1,2014-01-16,0.87,2014,1,16,3,7.830000000000001,6.3666082021748425,8.907142857142857,-12.49,0.87,0.6312645540143769,0.0616583982990786,-13.24,-4.71,0.8131044958077703,11.226666666666668,0.6974465558194776,1,0,-0.5136917528739179
CUST_0001,1,2014-01-17,8.28,2014,1,17,4,7.503333333333333,6.2811172042347145,9.35,7.409999999999999,8.28,0.6626506024096386,0.0616583982990786,-0.9800000000000004,3.1,0.8371102449002286,11.089999999999998,0.6765855124737001,1,0,-0.45315970047191556
CUST_0001,1,2014-01-18,7.43,2014,1,18,5,5.526666666666666,4.055124330194244,9.03,-0.8499999999999996,7.43,0.6399716513111269,0.0616583982990786,-5.93,-2.24,0.7337378160785725,12.243333333333334,0.4514021236046828,1,0,-0.4524384778071616
CUST_0001,1,2014-01-19,5.88,2014,1,19,6,7.196666666666666,1.2168949557514506,8.455714285714285,-1.5499999999999998,5.88,0.5992710337146906,0.0616583982990786,5.01,-4.0200000000000005,0.1690914713874178,7.830000000000001,0.919114516815666,1,0,-0.4520326109342511
CUST_0001,1,2014-01-20,1.86,2014,1,20,0,5.056666666666668,2.874827531058744,6.7057142857142855,-4.02,1.86,0.5019247219846023,0.0651197604790419,-6.419999999999999,-12.25,0.5685222539997515,7.503333333333333,0.6739227010217682,1,0,-0.4591610976844056
CUST_0001,1,2014-01-21,1.64,2014,1,21,1,3.126666666666668,2.386992528964702,5.6171428571428565,-0.2200000000000002,1.64,0.4204448246364414,0.0651197604790419,-5.79,-7.62,0.763430446363977,5.526666666666666,0.5657418576598313,1,0,-0.47358701658162056
CUST_0001,1,2014-01-22,11.89,2014,1,22,2,5.130000000000002,5.855365061206687,5.407142857142857,10.25,11.89,0.4547639072449837,0.073170731707317,6.010000000000001,-1.4699999999999989,1.1413966980909718,7.196666666666666,0.7128300138953222,1,0,-0.46249973441378484
CUST_0001,1,2014-01-23,1.36,2014,1,23,3,4.963333333333335,6.00030277013863,5.477142857142858,-10.53,1.36,0.4606512074972966,0.1143818334735071,-0.5,0.4900000000000001,1.208926011444989,5.056666666666668,0.981542518127884,1,0,-0.4756509869455225
CUST_0001,1,2014-01-24,1.85,2014,1,24,4,5.033333333333335,5.943099640198986,4.558571428571429,0.49,1.85,0.3833954103087829,0.1143818334735071,0.2100000000000002,-6.43,1.1807482728872154,3.126666666666668,1.609808102345416,1,0,-0.4932343819853988
CUST_0001,1,2014-01-25,9.48,2014,1,25,5,4.230000000000001,4.553229623025834,4.851428571428571,7.630000000000001,9.48,0.408025952180704,0.1143818334735071,-2.41,2.0500000000000007,1.0764136224647358,5.130000000000002,0.8245614035087719,1,0,-0.45462169315314366
